Name                          Rating      Wins      Losses    Stat        Games       SOS         
Liberty                       1.375360    7         4         0.992278    0.047208    -0.645071   
UCSB                          1.355217    5         4         1.251354    -0.363004   -0.803593   
Georgetown                    1.344498    6         5         0.546891    0.139740    -0.563253   
Monmouth                      1.316982    9         2         0.132725    1.532225    0.098958    
Texas A&M                     1.277833    8         2         0.346798    0.901380    -0.110700   
Nevada                        1.249940    6         4         0.230411    0.476317    0.804636    
Georgia Tech                  1.240971    5         5         -0.271285   0.519919    0.674239    
Butler                        1.219843    7         4         0.618411    0.132871    -0.097916   
Drake                         1.198115    7         4         0.085041    0.490894    0.492706    
Ole Miss                      1.182664    8         3         0.222870    0.514749    -0.775468   
Miami (FL)                    1.150387    8         3         -0.150164   0.838518    0.784181    
Notre Dame                    1.143024    4         5         0.061443    0.150081    1.344121    
Furman                        1.141040    7         5         0.356889    0.406887    0.188446    
George Mason                  1.122551    6         5         0.431457    0.496658    -0.258994   
South Carolina                1.075938    8         3         0.268888    0.609736    0.395547    
Temple                        1.054162    6         5         0.126290    0.470831    0.817420    
Missouri                      1.043334    6         5         0.021619    0.298791    -0.192517   
Kansas State                  1.026444    6         3         0.467733    0.817492    -0.739673   
Kent State                    1.010080    5         4         0.471423    -0.076703   1.032191    
Ohio                          1.000358    8         2         -0.038540   0.615271    0.474808    
Towson                        0.996625    8         4         0.770263    0.751544    -0.417516   
Wagner                        0.995573    4         2         0.217687    1.059983    1.221394    
California                    0.985692    6         5         -0.295956   0.953361    1.057759    
Louisiana Tech                0.985397    8         3         0.294840    0.131240    0.272821    
Utah Valley                   0.965637    8         3         0.665551    0.323504    0.173105    
UC-Riverside                  0.924304    6         4         0.584441    0.016551    0.768840    
Colgate                       0.901469    4         7         0.054100    -0.063642   -0.049336   
Southern Utah                 0.894731    7         4         0.559603    0.068256    -0.082575   
Pitt                          0.888000    4         7         -0.033598   0.277137    0.684466    
Princeton                     0.844785    9         3         0.351817    0.496140    -0.744786   
Navy                          0.824895    7         3         0.296121    0.435007    -0.205301   
Morehead State                0.817445    7         5         0.440964    -0.061978   1.331337    
Weber State                   0.816226    9         3         0.721688    0.192072    -0.680866   
South Alabama                 0.812419    9         3         0.943096    -0.074375   0.687023    
Oakland                       0.812258    7         3         -0.186247   1.273569    0.500376    
North Dakota State            0.794027    8         4         0.773272    -0.185300   0.109185    
Vanderbilt                    0.791586    6         4         0.044576    0.522746    -0.033995   
Coastal Carolina              0.780357    7         3         1.209760    -0.545362   -0.366380   
Boston College                0.773968    6         5         0.461324    0.436591    -0.606719   
Arizona State                 0.760676    5         6         -0.638634   0.746462    1.855481    
UMass                         0.731406    6         5         0.157113    0.372080    0.073390    
Hawaii                        0.708114    4         3         0.967560    -0.284269   0.656341    
James Madison                 0.676625    9         2         0.635683    0.185364    0.052936    
Florida Gulf Coast            0.674629    9         3         1.079819    0.235894    -0.821490   
Georgia                       0.640930    4         6         -0.180368   0.116745    1.167701    
Cornell                       0.616545    8         2         0.942629    0.219309    -0.964671   
Oral Roberts                  0.573986    6         5         0.844406    -0.256631   -0.041666   
Marshall                      0.573425    7         5         0.597890    -0.360364   -0.000757   
Eastern Washington            0.461874    6         5         0.551250    -0.207931   -0.524901   
Hofstra                       0.446260    7         5         -0.057933   0.294621    0.692136    
California Baptist            0.409867    8         3         0.918713    -0.146737   -1.297056   
UNLV                          0.377833    7         5         -0.102452   0.306847    0.702363    
Rice                          0.319021    7         4         0.580343    0.023810    -0.721775   
Brown                         0.306233    8         5         0.480031    0.006229    -0.696207   
