Akron,1.494779,16,8,1.719774,-0.237118,-0.752861
Clemson,1.445381,12,14,0.107965,0.756368,1.19393
Bradley,1.426356,15,12,1.072437,0.247367,0.249909
Morehead State,1.41884,20,8,1.327073,0.160753,-0.44494
UC-Irvine,1.401003,12,7,0.871284,0.363126,0.073664
Syracuse,1.388291,13,12,-0.280406,1.006088,1.441077
Rhode Island,1.335654,13,11,0.587094,0.518452,0.211418
Liberty,1.330081,18,9,0.995053,0.265638,-0.517868
Kansas State,1.310496,14,11,-0.275625,1.203232,1.649734
Western Kentucky,1.290175,15,11,0.943684,0.022103,0.223573
Ohio,1.273203,22,4,0.692936,0.608529,-0.600926
UCF,1.231799,15,8,-0.120044,0.968564,0.906267
Vanderbilt,1.171397,13,12,-0.194341,0.893625,1.516031
Princeton,1.166876,17,5,1.068973,0.252411,-0.910873
Minnesota,1.133581,12,11,-0.747851,1.131347,1.688224
UNLV,1.107331,15,11,0.254694,0.625413,0.912344
UCSB,1.095989,11,9,1.315358,-0.242551,-0.975698
Oral Roberts,1.092397,17,8,1.230978,0.068203,-0.821738
George Mason,1.090626,13,11,0.291078,0.589843,0.424127
Drake,1.082701,18,9,0.432772,0.398487,0.207367
Colgate,1.068721,16,11,0.751485,0.238922,-1.164097
North Dakota State,1.037947,19,8,1.172861,-0.014657,-0.767041
Texas A&M,0.986028,16,10,-0.08467,0.739155,1.234446
Louisiana Tech,0.905735,18,6,0.71602,0.004735,-0.045858
Wagner,0.853998,17,3,0.863368,0.611845,-1.544947
South Carolina,0.842034,15,10,-0.377,0.790527,1.556547
Pitt,0.838506,11,16,-0.091786,0.423227,1.27091
Montana State,0.837027,20,5,1.138773,0.154722,-1.301851
Utah,0.820546,9,16,-0.099556,0.420855,1.276987
Nevada,0.803072,11,13,-0.113073,0.444884,1.337761
Jacksonville State,0.791497,17,9,0.934514,0.066829,-0.76299
Florida Atlantic,0.789884,15,10,0.94829,-0.125085,-0.35783
Ole Miss,0.773547,12,14,-0.320306,0.491187,1.388406
Kent State,0.773506,16,9,0.59006,0.132004,-0.365933
Northern Iowa,0.734594,15,10,0.114395,0.444448,0.584165
