Abilene Christian,1.0305308809642657
Air Force,-3.067397861267977
Akron,2.003381856825651
Alabama A&M,-4.137042327487167
Alabama-Birmingham,1.3483873466842573
Alabama State,-4.897833877722195
Alabama,4.225151350082694
Albany (NY),-1.7047283315406745
Alcorn State,-4.935279685894975
American,-0.5391668394124522
Appalachian State,0.3225984975581312
Arizona State,0.7559124223191234
Arizona,4.298622557554661
Little Rock,0.0424337836589006
Arkansas-Pine Bluff,-4.968279185988251
Arkansas State,-0.673949167800616
Arkansas,4.295673936128492
Army,-0.1884867404848301
Auburn,3.349761326089287
Austin Peay,-1.2350395293518777
Ball State,0.04995751429284741
Baylor,4.898799720879483
Bellarmine,-1.471985765892325
Belmont,1.2276451717018255
Bethune-Cookman,-4.5
Binghamton,-3.1642419622284863
Boise State,2.8731082534339283
Boston College,0.11092818918363945
Boston University,-0.15463368352698464
Bowling Green State,-0.02431738505353216
Bradley,0.44074135321733937
BYU,3.980218920322703
Brown,-0.0239
Bryant,-0.04671248321405669
Bucknell,-1.0427049393066123
Buffalo,2.0545324730265264
Butler,1.9721597504798698
Cal Poly,-3.361512082274132
Cal State Bakersfield,-0.5711624087355696
Cal State Fullerton,-2.3626245885600476
Cal State Northridge,-2.646765729223062
California Baptist,-0.1513820999927828
UC-Davis,-1.8899611914543486
UC-Irvine,1.481766795940339
UC-Riverside,0.5244054651997891
UC-San Diego,-2.32769970169711
UCSB,2.6710634738646166
California,0.255390950486986
Campbell,-1.387535491248539
Canisius,-1.5199074941069006
Central Arkansas,-2.992523247512599
Central Connecticut,-4.201408227562458
UCF,1.5671215329331063
Central Michigan,-1.810060019470309
Charleston Southern,-3.9182719380804816
Charlotte,-0.7681327487730777
Chattanooga,0.18220820305654806
Chicago State,-6.9521516363364935
Cincinnati,2.166037907315281
Citadel,-0.6425698747522496
Clemson,2.8256562236275924
Cleveland State,-1.3696472452664166
Coastal Carolina,0.8302149488645434
Colgate,3.6933800088907303
College of Charleston,-1.6756691661544176
Colorado State,2.224539275365082
Colorado,4.259341984662123
Columbia,-2.2209
UConn,4.34341666450626
Coppin State,-2.246176020186743
Cornell,-1.2169
Creighton,4.260356028117937
Dartmouth,-0.1479
Davidson,2.793232911804174
Dayton,2.81368041999215
Delaware State,-5.7107484735486445
Delaware,-0.34043538986255945
Denver,-4.500847367236931
DePaul,0.22931889750404277
Detroit,-1.2296151180609227
Dixie State,-3.503561164948756
Drake,1.9960120915131965
Drexel,0.3341064560977998
Duke,3.517243167566205
Duquesne,1.2439685396466111
East Carolina,-0.12012431507138388
ETSU,0.7848089092484907
Eastern Illinois,-2.6822048824775555
Eastern Kentucky,-1.1210939417128145
Eastern Michigan,-1.764426485278598
Eastern Washington,0.9991211320026198
Elon,-1.8393180913498712
Evansville,-1.4379161080127072
Fairfield,-2.612240315028428
Fairleigh Dickinson,-2.8611552520543535
Florida A&M,-2.8812834933562
Florida Atlantic,0.5613688108625023
Florida Gulf Coast,-1.7428429344273748
Florida International,-1.5864240134830911
Florida State,4.487426998822005
Florida,3.481890037249806
Fordham,-3.296744226805611
Fresno State,0.0806823311830214
Furman,1.32060986685896
Gardner-Webb,-1.1958895254588975
George Mason,1.0367403819064294
George Washington,-0.9094131740001192
Georgetown,3.194724211323681
Georgia Southern,-0.39324283935371496
Georgia State,0.5816252843487144
Georgia Tech,3.29510983423976
Georgia,1.6505124364810837
Gonzaga,6.171835118268186
Grambling,-2.766146705731087
Grand Canyon,1.0618333817653216
Green Bay,-1.8200274798374367
Hampton,-3.149947894341685
Hartford,-0.9184489585613479
Harvard,2.0991
Hawaii,-0.5570448088232927
High Point,-3.0679990585751433
Hofstra,0.1461527671682904
Holy Cross,-1.8356725881414322
Houston Baptist,-3.953371024528373
Houston,5.280644968399991
Howard,-4.1383032725161515
Idaho State,-0.6287134048006086
Idaho,-5.271060622482732
UIC,-2.1019886232345297
Illinois State,-1.4021491196602263
Illinois,6.1950175159641425
Incarnate Word,-4.040949197902528
Indiana State,0.8178698485002036
Indiana,3.4452090330336773
Iona,-0.6517074001486156
Iowa State,-0.790385701766163
Iowa,5.3910690380348445
Purdue-Fort Wayne,-2.104237786680671
IUPUI,-2.5695444342959166
Jackson State,-1.8421397011125054
Jacksonville State,-0.19098221817760075
Jacksonville,-1.992473669838375
James Madison,-0.6306234902007695
Kansas State,-0.2954508177747249
Kansas,4.453098128723358
Kennesaw State,-3.1434139087896074
Kent State,1.4292504999406994
Kentucky,3.513093584413266
La Salle,-1.1697827203879194
Lafayette,-0.26367611623168735
Lamar,-2.705977769472314
Lehigh,-2.690930215908437
Liberty,1.9885662750036608
Lipscomb,-1.198219272793375
Long Beach State,-2.6839394297339063
LIU,-1.3786890860763215
Longwood,-2.8736358355444
Louisiana,-0.6685956695309586
Louisiana-Monroe,-2.86795177714764
LSU,3.5220119903134632
Louisiana Tech,1.9644465813339929
Louisville,3.0465985130656237
Loyola (IL),3.8520154205758965
Loyola Marymount,1.248834254443758
Loyola (MD),-0.16918951357966577
Maine,-2.958823736529069
Manhattan,-2.895356034322189
Marist,-2.1342564907314454
Marquette,2.844007180340215
Marshall,1.3443561142395817
UMBC,-0.0271825427559515
Maryland-Eastern Shore,-4.8489
Maryland,4.105357879591477
UMass-Lowell,-1.0016642013915384
UMass,0.7354650125587766
McNeese State,-1.8993907123749936
Memphis,4.055231559256386
Mercer,0.5661948445908404
Merrimack,-2.122594085709423
Miami (FL),1.0639497565583935
Miami (OH),-1.0253543738990287
Michigan State,3.5009615499471765
Michigan,6.32266688611401
